t;Q_1;Q_2;A;p_a;p_b
0;20.8;21;0;4;4
1;20.7;21.9;175;7;1.6
2;20.7;22.8;180;6.5;1.9
3;20;23.8;180;7;2
4;18.7;25.5;190;8;2.1
5;17;27.4;200;7.5;2.1
6;15.3;28.9;200;8;2.1
7;13.4;30.7;200;8.5;2.1
8;11.7;32.5;210;8.5;2.1
9;10;34;200;8;2
10;8.5;35.6;200;9;2
11;6.8;37.1;210;9.5;2.1
12;5.7;38.7;210;10;2.1
13;4.6;40;220;10.5;2.1
14;3.7;41.6;220;11;2.1
15;3;43;220;11.5;2.1
16;2.3;44.3;220;10.5;2.1
17;1.8;45.6;210;12;2.1
18;1.3;46.7;210;12;2.1
19;0.09;47.8;210;12.5;2.1
20;0.04;48.8;210;12.5;2.1
21;-0.1;49.8;200;12.5;2